method,case_id,python_executable,python_version,implementation,platform,statistics_kde_available,statistics_kde_random_available,expected_classification,actual_classification,api_exercised,kernel,bandwidth,cumulative_flag,input_count,input_data_hash,evaluation_point,grid_summary,density_value,cdf_value,reference_value,absolute_error,relative_error,estimated_grid_mass,monotonicity_result,alias_pair_result,seed,sample_count,seeded_sequence_digest,repeated_sequence_match,left_density_score,right_density_score,local_density_label,exception_type,exception_message,elapsed_time,skip_reason,failure_reason,narrow_local_conclusion
inspect_api,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,pass,pass,sys.version/platform,,,,,,,,,,,,,,,,,,,,,,,,,1.376960426568985e-06,,,
evaluate_pdf,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,1.044943928718567e-06,,,
evaluate_cdf,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,6.48200511932373e-07,,,
draw_seeded_samples,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,3.152526915073395e-07,,,
ml_context_observation,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,pass,pass,,,,,,,,,,,,,,,,,,,,,,,,,,5.830079317092896e-07,,,"version recorded, no ML claim"
inspect_api,statistics_kde_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,pass,pass,"statistics.kde (data, h, kernel='normal', *, cumulative=False)",,,,,,,,,,,,,,,,,,,,,,,,,1.4188699424266815e-06,,,
evaluate_pdf,statistics_kde_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,3.757886588573456e-07,,,
evaluate_cdf,statistics_kde_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,2.314336597919464e-07,,,
draw_seeded_samples,statistics_kde_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,2.1187588572502136e-07,,,
ml_context_observation,statistics_kde_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,1.9604340195655823e-07,,,
inspect_api,statistics_kde_random_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,pass,pass,"statistics.kde_random (data, h, kernel='normal', *, seed=None)",,,,,,,,,,,,,,,,,,,,,,,,,1.0533258318901062e-06,,,
evaluate_pdf,statistics_kde_random_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,3.5297125577926636e-07,,,
evaluate_cdf,statistics_kde_random_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,2.761371433734894e-07,,,
draw_seeded_samples,statistics_kde_random_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,2.207234501838684e-07,,,
ml_context_observation,statistics_kde_random_api_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,4.973262548446655e-07,,,"kde_random is sampling, not ML training"
inspect_api,empty_data_errors_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,8.87550413608551e-07,,,
evaluate_pdf,empty_data_errors_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,expected_error,expected_error,statistics.kde,,,,0,4f53cda18c2baa0c,,,,,,,,,,,,,,,,,,StatisticsError,Empty data sequence,4.9569178372621536e-05,,,
evaluate_cdf,empty_data_errors_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,expected_error,expected_error,statistics.kde,,,,0,4f53cda18c2baa0c,,,,,,,,,,,,,,,,,,StatisticsError,Empty data sequence,1.7306767404079437e-05,,,
draw_seeded_samples,empty_data_errors_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,expected_error,expected_error,statistics.kde_random,,,,0,4f53cda18c2baa0c,,,,,,,,,,,,,,,,,,StatisticsError,Empty data sequence,1.4933757483959198e-05,,,
